source,lengths,speaker,index,utt
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010008_DT.wav,179082,F010,1,008
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010035_DT.wav,174042,F010,1,035
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010062_DT.wav,185748,F010,1,062
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010005_DT.wav,131440,F010,1,005
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010100_DT.wav,310178,F010,1,100
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010015_DT.wav,216518,F010,1,015
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010043_DT.wav,198388,F010,1,043
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010080_DT.wav,311706,F010,1,080
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010058_DT.wav,459530,F010,1,058
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010067_DT.wav,301378,F010,1,067
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010063_DT.wav,297648,F010,1,063
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010077_DT.wav,278090,F010,1,077
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010010_DT.wav,122256,F010,1,010
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010060_DT.wav,482656,F010,1,060
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010044_DT.wav,312348,F010,1,044
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010028_DT.wav,379170,F010,1,028
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010068_DT.wav,203652,F010,1,068
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010009_DT.wav,129718,F010,1,009
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010074_DT.wav,220810,F010,1,074
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010036_DT.wav,267800,F010,1,036
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010090_DT.wav,470618,F010,1,090
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010046_DT.wav,237238,F010,1,046
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010051_DT.wav,361804,F010,1,051
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010073_DT.wav,182018,F010,1,073
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010029_DT.wav,411286,F010,1,029
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010088_DT.wav,458394,F010,1,088
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010032_DT.wav,108256,F010,1,032
/media/fujie/hdd1/Speech/jnas/JNAS_1/WAVES_DT/F010/NP/NF010093_DT.wav,123762,F010,1,093
